source	target	weight
294978	294971	1.000
294973	294972	1.000
294973	294978	1.000
294973	294976	1.000
294973	294970	1.000
294973	294977	1.000
294973	294971	1.000
263795	263796	1.000
263794	263796	1.000
263794	263795	1.000
294975	294972	1.000
294975	294978	1.000
294975	294973	1.000
294975	294976	1.000
294975	294970	1.000
294975	294977	1.000
294975	294971	1.000
294974	294972	1.000
294974	294978	1.000
294974	294973	1.000
294974	294976	1.000
294974	294970	1.000
294974	294977	1.000
294974	294971	1.000
294974	294975	1.000
295595	295594	1.000
296185	296184	1.000
292535	292536	1.000
292534	292535	1.000
292534	292536	1.000
109407	109406	1.000
35776	35775	1.000
35777	35775	1.000
35777	35776	1.000
35778	35775	1.000
35778	35776	1.000
35778	35777	1.000
35779	35775	1.000
35779	35776	1.000
35779	35777	1.000
35779	35778	1.000
35780	35775	1.000
35780	35776	1.000
35780	35777	1.000
35780	35778	1.000
35780	35779	1.000
35781	35775	1.000
35781	35776	1.000
35781	35777	1.000
35781	35778	1.000
35781	35779	1.000
35781	35780	1.000
62670	62669	1.000
62671	62669	1.000
62671	62670	1.000
62672	62669	1.000
62672	62670	1.000
62672	62671	1.000
22136	22137	1.000
199867	199868	1.000
105369	105370	1.000
32680	32679	1.000
170331	170332	1.000
165494	165495	1.000
228462	228461	1.000
258395	258394	1.000
258396	258394	1.000
258396	258395	1.000
258397	258394	1.000
258397	258395	1.000
258397	258396	1.000
258398	258394	1.000
258398	258395	1.000
258398	258396	1.000
258398	258397	1.000
258399	258394	1.000
258399	258395	1.000
258399	258396	1.000
258399	258397	1.000
258399	258398	1.000
258400	258394	1.000
258400	258395	1.000
258400	258396	1.000
258400	258397	1.000
258400	258398	1.000
258400	258399	1.000
258401	258400	1.000
258401	258394	1.000
258401	258395	1.000
258401	258396	1.000
258401	258397	1.000
258401	258398	1.000
258401	258399	1.000
258402	258400	1.000
258402	258401	1.000
258402	258394	1.000
258402	258395	1.000
258402	258396	1.000
258402	258397	1.000
258402	258398	1.000
258402	258399	1.000
258403	258400	1.000
258403	258401	1.000
258403	258402	1.000
258403	258394	1.000
258403	258395	1.000
258403	258396	1.000
258403	258397	1.000
258403	258398	1.000
258403	258399	1.000
258404	258400	1.000
258404	258401	1.000
258404	258402	1.000
258404	258403	1.000
258404	258394	1.000
258404	258395	1.000
258404	258396	1.000
258404	258397	1.000
258404	258398	1.000
258404	258399	1.000
258405	258400	1.000
258405	258401	1.000
258405	258402	1.000
258405	258403	1.000
258405	258404	1.000
258405	258394	1.000
258405	258395	1.000
258405	258396	1.000
258405	258397	1.000
258405	258398	1.000
258405	258399	1.000
258406	258400	1.000
258406	258401	1.000
258406	258402	1.000
258406	258403	1.000
258406	258404	1.000
258406	258405	1.000
258406	258394	1.000
258406	258395	1.000
258406	258396	1.000
258406	258397	1.000
258406	258398	1.000
258406	258399	1.000
258407	258400	1.000
258407	258401	1.000
258407	258402	1.000
258407	258403	1.000
258407	258404	1.000
258407	258405	1.000
258407	258406	1.000
258407	258394	1.000
258407	258395	1.000
258407	258396	1.000
258407	258397	1.000
258407	258398	1.000
258407	258399	1.000
258408	258400	1.000
258408	258401	1.000
258408	258402	1.000
258408	258403	1.000
258408	258404	1.000
258408	258405	1.000
258408	258406	1.000
258408	258407	1.000
258408	258394	1.000
258408	258395	1.000
258408	258396	1.000
258408	258397	1.000
258408	258398	1.000
258408	258399	1.000
258409	258400	1.000
258409	258401	1.000
258409	258402	1.000
258409	258403	1.000
258409	258404	1.000
258409	258405	1.000
258409	258406	1.000
258409	258407	1.000
258409	258408	1.000
258409	258394	1.000
258409	258395	1.000
258409	258396	1.000
258409	258397	1.000
258409	258398	1.000
258409	258399	1.000
258410	258400	1.000
258410	258401	1.000
258410	258402	1.000
258410	258403	1.000
258410	258404	1.000
258410	258405	1.000
258410	258406	1.000
258410	258407	1.000
258410	258408	1.000
258410	258409	1.000
258410	258394	1.000
258410	258395	1.000
258410	258396	1.000
258410	258397	1.000
258410	258398	1.000
258410	258399	1.000
258411	258400	1.000
258411	258401	1.000
258411	258402	1.000
258411	258403	1.000
258411	258404	1.000
258411	258405	1.000
258411	258406	1.000
258411	258407	1.000
258411	258408	1.000
258411	258409	1.000
258411	258410	1.000
258411	258394	1.000
258411	258395	1.000
258411	258396	1.000
258411	258397	1.000
258411	258398	1.000
258411	258399	1.000
258412	258400	1.000
258412	258401	1.000
258412	258402	1.000
258412	258403	1.000
258412	258404	1.000
258412	258405	1.000
258412	258406	1.000
258412	258407	1.000
258412	258408	1.000
258412	258409	1.000
258412	258410	1.000
258412	258411	1.000
258412	258394	1.000
258412	258395	1.000
258412	258396	1.000
258412	258397	1.000
258412	258398	1.000
258412	258399	1.000
152610	152611	1.000
46542	46541	1.000
147992	147993	1.000
73940	73941	1.000
73939	73941	1.000
73939	73940	1.000
50046	50045	1.000
50047	50045	1.000
50047	50046	1.000
50048	50045	1.000
50048	50046	1.000
50048	50047	1.000
214234	214235	1.000
50851	50850	1.000
50852	50850	1.000
50852	50851	1.000
50853	50850	1.000
50853	50851	1.000
50853	50852	1.000
51867	51866	1.000
100699	100700	1.000
100698	100700	1.000
100698	100699	1.000
100697	100700	1.000
100697	100699	1.000
100697	100698	1.000
100696	100700	1.000
100696	100699	1.000
100696	100698	1.000
100696	100697	1.000
100695	100700	1.000
100695	100699	1.000
100695	100698	1.000
100695	100697	1.000
100695	100696	1.000
100694	100700	1.000
100694	100699	1.000
100694	100698	1.000
100694	100697	1.000
100694	100696	1.000
100694	100695	1.000
100693	100700	1.000
100693	100699	1.000
100693	100698	1.000
100693	100697	1.000
100693	100696	1.000
100693	100695	1.000
100693	100694	1.000
100692	100700	1.000
100692	100699	1.000
100692	100698	1.000
100692	100697	1.000
100692	100696	1.000
100692	100695	1.000
100692	100694	1.000
100692	100693	1.000
100691	100700	1.000
100691	100699	1.000
100691	100698	1.000
100691	100697	1.000
100691	100696	1.000
100691	100695	1.000
100691	100694	1.000
100691	100693	1.000
100691	100692	1.000
100690	100691	1.000
100690	100700	1.000
100690	100699	1.000
100690	100698	1.000
100690	100697	1.000
100690	100696	1.000
100690	100695	1.000
100690	100694	1.000
100690	100693	1.000
100690	100692	1.000
100689	100691	1.000
100689	100690	1.000
100689	100700	1.000
100689	100699	1.000
100689	100698	1.000
100689	100697	1.000
100689	100696	1.000
100689	100695	1.000
100689	100694	1.000
100689	100693	1.000
100689	100692	1.000
100688	100691	1.000
100688	100690	1.000
100688	100689	1.000
100688	100700	1.000
100688	100699	1.000
100688	100698	1.000
100688	100697	1.000
100688	100696	1.000
100688	100695	1.000
100688	100694	1.000
100688	100693	1.000
100688	100692	1.000
100687	100691	1.000
100687	100690	1.000
100687	100689	1.000
100687	100688	1.000
100687	100700	1.000
100687	100699	1.000
100687	100698	1.000
100687	100697	1.000
100687	100696	1.000
100687	100695	1.000
100687	100694	1.000
100687	100693	1.000
100687	100692	1.000
90539	90538	1.000
240504	240503	1.000
240505	240503	1.000
240505	240504	1.000
240506	240503	1.000
240506	240504	1.000
240506	240505	1.000
240507	240503	1.000
240507	240504	1.000
240507	240505	1.000
240507	240506	1.000
240508	240503	1.000
240508	240504	1.000
240508	240505	1.000
240508	240506	1.000
240508	240507	1.000
240509	240503	1.000
240509	240504	1.000
240509	240505	1.000
240509	240506	1.000
240509	240507	1.000
